Date/Time,Word Count,en,pt-PT
2022.04.30-22.30.01,23,23,0
2022.04.30-22.51.14,24,24,0
2022.04.30-23.17.24,26,26,3
2022.04.30-23.42.09,26,26,5
2022.04.30-23.44.40,27,27,4
2022.04.30-23.49.19,26,26,5
2022.05.01-11.26.52,21,21,1
2022.05.01-11.31.33,20,20,2
2022.05.01-14.25.21,22,22,2
2022.05.01-14.37.21,22,22,3
2022.05.01-14.56.57,21,21,0
2022.05.01-15.05.19,20,20,1
2022.05.01-15.28.31,19,19,0
2022.05.01-15.36.29,20,20,1
2022.05.01-15.44.45,21,21,2
2022.05.01-16.06.35,21,21,3
2022.05.01-16.15.06,21,21,2
2022.05.01-16.54.24,23,23,1
2022.05.01-17.32.42,25,25,1
2022.05.01-21.16.40,25,25,5
2022.05.02-19.19.56,28,28,4
2022.05.13-21.22.59,21,21,0
2022.05.13-21.26.05,59,59,0
2022.05.13-21.34.26,59,59,38
2022.05.13-22.41.30,63,63,38
2022.05.14-09.33.32,64,64,46
2022.05.14-09.58.13,61,61,47
2022.05.14-10.13.53,66,66,47
2022.06.03-19.34.28,68,68,52
2022.06.03-21.27.52,71,71,53
2022.06.03-22.06.25,67,67,55
2022.06.03-22.26.19,64,64,55
2022.06.03-22.28.54,60,60,55
2022.06.27-22.48.36,77,77,55
2022.06.27-22.56.00,88,88,55
2022.06.27-23.10.11,88,88,64
2022.06.27-23.20.00,88,88,66
2022.06.28-19.57.40,103,103,66
2022.06.28-20.03.16,103,103,69
2022.07.26-14.21.17,103,103,81
2022.07.26-14.28.30,102,102,81
2022.07.26-14.40.14,103,103,81
2022.07.26-15.19.28,105,105,82
2022.07.30-16.28.10,111,111,84
2022.08.05-15.03.34,112,112,90
2022.08.05-15.04.44,113,113,90
2022.08.10-18.52.29,114,114,91
2022.08.21-16.57.53,114,114,89
2022.08.25-18.39.33,114,114,92
2022.08.25-18.40.19,119,119,92
2022.08.27-23.25.04,129,129,97
